Type of slope movement,Season,min_volume,median_volume,max_volume,Relative size,Rock unit,Rockfall,slope_angle_degrees,trigger
RF,Spring,5,213,50,medium,Kgp,Yes,78.3,Spontaneous
RF,Spring,5,3,50,small,Kgp,Yes,50.3,Spontaneous
RF,Spring,5,20,50,small,Khd,Yes,68.7,Spontaneous
RF,Summer,5,2,50,small,Kgp,Yes,85.7,Precipitation
RF,Summer,29,36,43,small,Khd,Yes,82.2,Spontaneous
RF,Fall,0,2,5,small,Kec,Yes,67.5,Spontaneous
RF,Fall,0,2,5,small,Kgp,Yes,65.1,Precipitation
RF,Fall,500,2000,5000,large,Ks,Yes,71.2,Spontaneous
RF,Fall,5,4250,50,large,Ks,Yes,72.6,Precipitation
RF,Winter,5,3,50,small,Kga,Yes,60.7,Spontaneous
RF,Winter,5,17477,50,large,Ks,Yes,76.8,Spontaneous
RF,Winter,5,40,50,small,Ks,Yes,62.5,Spontaneous
RF,Winter,5,21747,50,large,Ks,Yes,51.0,Precipitation
RF,Winter,5,281,50,medium,Ks,Yes,70.5,Spontaneous
RF,Winter,0,2,5,small,Kgp,Yes,54.8,Precipitation
RS,Spring,5,113,50,medium,Khd,No,80.3,Spontaneous
RF,Spring,5,14,50,small,Ks,Yes,55.4,Precipitation
RF,Spring,0,1,1,small,Kgp,Yes,73.1,Spontaneous
RS,Summer,5,29,50,small,Khd,No,53.2,Spontaneous
RF,Summer,5,21,50,small,Kgp,Yes,82.1,Spontaneous
RF,Fall,5,108,50,medium,Ks,Yes,62.4,Precipitation
RF,Winter,5,8,50,small,Kga,Yes,86.0,Spontaneous
RS,Winter,5,6,50,small,Qat,No,72.7,Spontaneous
RF,Spring,0,0,0,small,Kgp,Yes,61.0,Precipitation
RF,Spring,0,2,5,small,Ks,Yes,79.2,Spontaneous
RF,Summer,0,2,5,small,Ks,Yes,73.1,Spontaneous
RF,Summer,0,2,5,small,Khd,Yes,67.7,Spontaneous
RF,Summer,5,20,50,small,Kgp,Yes,66.2,Precipitation
RF,Summer,3,4,5,small,Ks,Yes,83.8,Spontaneous
RF,Summer,5,300,50,medium,Kgp,Yes,76.7,Spontaneous
DF,Summer,5,5356,50,large,Qat,No,63.2,Precipitation
RF,Summer,5,13,50,small,Kgp,Yes,58.4,Spontaneous
RF,Summer,0,2,5,small,Ks,Yes,82.9,Spontaneous
RF,Summer,56,60,64,medium,Kgp,Yes,77.0,Spontaneous
RF,Fall,5,6,8,small,Khd,Yes,47.9,Precipitation
RF,Fall,5,96,50,medium,Kgp,Yes,75.8,Precipitation
RF,Fall,0,0,0,small,Kgp,Yes,65.4,Spontaneous
RF,Fall,0,2,5,small,Kec,Yes,73.6,Spontaneous
RF,Fall,10,13,15,small,Kgp,Yes,64.0,Precipitation
RF,Fall,20,30,40,small,Ka,Yes,79.8,Precipitation
RF,Spring,0,2,5,small,Khd,Yes,71.2,Freeze-Thaw
RF,Spring,5,20,50,small,Kec,Yes,68.8,Spontaneous
RS,Spring,5,25,50,small,Kga,No,70.7,Precipitation
DS,Spring,5,43,50,small,Ks,No,54.5,Spontaneous
RF,Spring,5,20,50,small,Kec,Yes,55.9,Spontaneous
RF,Summer,5,35,50,small,Khd,Yes,78.0,Spontaneous
RF,Summer,5,13,50,small,Khd,Yes,54.6,Spontaneous
RF,Fall,20,55,100,medium,Khd,Yes,75.1,Precipitation
RF,Spring,5,636,50,large,Khd,Yes,85.2,Spontaneous
RF,Summer,5,15,50,small,Khd,Yes,87.5,Spontaneous
RF,Summer,5,297,50,medium,Khd,Yes,72.6,Spontaneous
RF,Summer,5,16,50,small,Kgp,Yes,49.9,Spontaneous
RF,Summer,5,298,50,medium,Khd,Yes,59.4,Spontaneous
RF,Summer,10,13,16,small,Ks,Yes,87.9,Spontaneous
RS,Fall,5,6,50,small,Kga,No,58.3,Spontaneous
RF/RS,Fall,5,100,50,medium,Kga,No,77.4,Spontaneous
RS,Winter,5,43,50,small,Kec,No,67.0,Precipitation
RF/RS,Fall,5,170,50,medium,Kec,No,50.5,Spontaneous
DS,Winter,50,200,500,medium,Ks,No,71.3,Precipitation
RF,Winter,5,204,50,medium,Kgp,Yes,72.3,Precipitation
RF,Winter,5,61,50,medium,Ks,Yes,66.9,Precipitation
RF/RS,Winter,50,200,500,medium,Ks,No,68.7,Precipitation
RS,Winter,5,126,50,medium,Khd,No,70.6,Spontaneous
RF,Winter,0,2,5,small,Kec,Yes,87.6,Precipitation
DF,Winter,0,2,5,small,Qat,No,82.3,Precipitation
DS,Winter,5,7,50,small,Qat,No,69.4,Spontaneous
RS/RF,Winter,0,2,5,small,Kgp,No,64.0,Precipitation
RF,Winter,5,5,50,small,Kgp,Yes,81.3,Precipitation
RF,Winter,5,20,50,small,Krm,Yes,72.7,Spontaneous
RF,Winter,5,20,50,small,Kec,Yes,78.7,Spontaneous
RF,Winter,5,10,50,small,Kec,Yes,87.9,Spontaneous
RF,Spring,5,5,50,small,Ka,Yes,60.0,Spontaneous
RF,Spring,5,20,50,small,Kbv,Yes,75.0,Spontaneous
RF,Spring,5,20,50,small,Kgp,Yes,76.5,Spontaneous
RF,Summer,5,425,50,medium,Kgp,Yes,49.5,Spontaneous
RF,Summer,5,10,50,small,Khd,Yes,70.1,Spontaneous
RF,Summer,0,0,0,small,Kgp,Yes,80.0,Spontaneous
DS,Summer,5,75,50,medium,Qat,No,58.3,Spontaneous
RF,Summer,5,5,50,small,Kgp,Yes,71.7,Spontaneous
RS,Fall,0,2,5,small,Kgp,No,81.5,Precipitation
DF,Fall,5,20,50,small,Qat,No,63.2,Precipitation
RF,Fall,500,2000,5000,large,Ks,Yes,67.4,Precipitation
RF,Fall,5,10,50,small,Kgp,Yes,79.6,Spontaneous
RF,Winter,5,40,50,medium,Khd,Yes,67.8,Spontaneous
RS,Winter,5,20,50,small,Kga,No,84.0,Precipitation
RS,Winter,5,10,50,small,Pzme,No,57.6,Precipitation
RF,Winter,5,1,50,small,Kec,Yes,67.4,Precipitation
RF,Winter,5,1,50,small,Kga,Yes,77.9,Precipitation
RS,Winter,5,10,50,small,Ka,No,83.7,Precipitation
RF,Winter,5,20,50,small,Ks,Yes,59.2,Spontaneous
RS,Winter,5,5,50,small,Kec,No,72.4,Precipitation
RF,Spring,5,1,50,small,Ka,Yes,56.0,Precipitation
RF,Spring,5,20,50,small,Kgp,Yes,85.4,Precipitation
RF,Spring,5,10,50,small,Kec,Yes,61.3,Spontaneous
RF,Spring,5,50,50,medium,Khd,Yes,70.4,Spontaneous
RF,Summer,5,40,50,medium,Khd,Yes,74.2,Spontaneous
RF,Summer,0,2,5,small,Kgp,Yes,79.2,Spontaneous
RF,Summer,0,2,5,small,Kgp,Yes,77.8,Spontaneous
RF,Spring,5,2,50,small,Kgp,Yes,68.0,Spontaneous
RF,Fall,5,144,50,medium,Kgp,Yes,64.0,Precipitation
RF,Fall,0,2,5,small,Kec,Yes,63.3,Precipitation
RS,Fall,0,2,5,small,Kjdg,No,73.6,Precipitation
RF,Fall,5,15,50,small,Khd,Yes,68.5,Precipitation
RF,Fall,5,20,50,small,Ks,Yes,72.7,Precipitation
RS,Fall,5,15,50,small,Ka,No,62.1,Precipitation
RF,Winter,5,5,50,small,Kec,Yes,54.5,Precipitation
RF,Winter,5,5,50,small,Kgp,Yes,78.7,Precipitation
RF,Winter,5,10,10,small,Ks,Yes,62.2,Precipitation
RF,Winter,5,10,10,small,Kec,Yes,86.8,Freeze-Thaw
RS,Spring,2,3,3,small,Kgp,No,76.3,Precipitation
DS,Spring,5,20,50,small,Qat,No,56.7,Spontaneous
RS,Spring,5,36,50,small,Kga,No,77.7,Precipitation
RS,Spring,5,10,50,small,Kga,No,58.1,Precipitation
DS,Spring,5,400,50,medium,Qat,No,63.1,Precipitation
RF,Spring,5,10,10,small,Kgp,Yes,80.5,Spontaneous
RF,Spring,5,20,50,small,Kbv,Yes,85.1,Spontaneous
RF,Spring,5,1,50,small,Kec,Yes,66.4,Precipitation
RF,Spring,5,20,50,small,Khd,Yes,74.8,Spontaneous
RF,Spring,5,10,10,small,Khd,Yes,56.9,Spontaneous
RF,Summer,5,0,50,small,Khd,Yes,79.4,Spontaneous
DF,Summer,5000,20000,50000,large,Qat,No,55.7,Precipitation
RF,Summer,5,15,50,small,Kgp,Yes,65.6,Spontaneous
RF,Summer,5,735,50,large,Khd,Yes,83.6,Spontaneous
RF,Summer,5,10,50,small,Kgp,Yes,50.8,Spontaneous
RF/DS,Summer,5,300,50,medium,Kec,No,63.9,Precipitation
RF,Fall,6,9,12,small,Kec,Yes,87.0,Precipitation
