Type of slope movement,Season,Year,Month,Day,Time (PST),Minimum volume,Median/best estimate volume,Maximum volume,Relative size,Rock unit,Triggering condition(s),Rockfall
DF,Fall,2010,10,4,06:53,-,250,-,medium,Qat,P,No
RF,Fall,2010,10,5,14:00,-,2,-,very small,Ks,P,Yes
RF,Fall,2010,10,9,11:30,10,15,20,small,Ks,P,Yes
RF,Fall,2010,10,9,14:13,-,0.5,-,very small,Ks,P,Yes
RF,Fall,2010,10,10,,-,1,-,very small,Ks,P,Yes
RF,Fall,2010,10,10,10:00,5,20,50,small,Kec,P,Yes
RF,Fall,2010,10,11,02:00-03:00,0.5,2,5,very small,Kec,UNR,Yes
RF,Fall,2010,10,11,10:30,-,65,-,medium,Kec,UNR,Yes
RF,Fall,2010,10,11,10:32,-,990,-,large,Kec,UNR,Yes
RF,Fall,2010,10,11,10:34,-,20,-,small,Kec,UNR,Yes
RF,Fall,2010,10,11,12:02,-,25,-,small,Kec,UNR,Yes
RF,Fall,2010,10,12,00:00-01:00,-,80,-,small,Kec,UNR,Yes
RF,Fall,2010,10,12,14:13,-,1,-,small,Kec,UNR,Yes
RF,Fall,2010,10,28,20:05,-,33,-,small,Ks,CP,Yes
RF,Fall,2010,11,10,07:10,2,2.5,3,very small,Kec,P,Yes
RF,Fall,2010,11,10,16:15,0,0.5,1,very small,Kec/Kdg,P,Yes
RF,Fall,2010,11,12,16:42,-,40,-,small,Ks,CP,Yes
RF,Fall,2010,11,12,,-,10,-,small,Ks,UNR,Yes
RF,Fall,2010,11,13,12:04,-,28,-,small,Ks,CP,Yes
RF,Fall,2010,11,17,15:11,-,5,-,small,Kec,CP,Yes
RF,Fall,2010,11,19,08:30,-,4,-,very small,Khd/Kgp ,UNR,Yes
RF,Fall,2010,11,20,22:55,-,2,-,small,Ks,CP,Yes
RF,Fall,2010,12,3,16:28,5,20,50,small,Ks/Kec,P,Yes
RF,Fall,2010,12,5,18:30,5,20,50,small,Ks/Pzme,P,Yes
RF,Fall,2010,12,6,13:15,-,1,-,very small,Ka,P,Yes
RF,Fall,2010,12,7,04:50,-,38,-,small,Ka,P,Yes
RF,Fall,2010,12,8,12:37,0.5,2,5,very small,Kgp,"P, F/T",Yes
RS,Fall,2010,12,21,09:45,-,25,-,small,Kga,"RW, F/T",No
DS,Winter,2010,12,23,14:00,5,20,50,small,Qat,P,No
RS,Winter,2010,12,29-30,,-,85,-,medium,Kga,"P, F/T",No
RS,Winter,2010,12,30,10:37,-,12,-,small,Kga,"P, F/T",No
RF,Winter,2011,1,26,,-,1.5,-,very small,Kec,UKN,Yes
RF,Winter,2011,1,31,,500,950,1500,large,Kt,"P, F/T",Yes
RF,Winter,2011,2,5,20:20,-,240,-,medium,Kec,UNR,Yes
RF,Winter,2011,2,17,02:30,5,20,50,small,Kec,"P, F/T",Yes
RS,Winter,2011,2,18-19,late pm / early am,-,2.5,-,very small,Pzme,P,No
RS,Winter,2011,2,25,,-,0.4,-,extremely small,Pzme,P,No
RF,Winter,2011,3,8,09:35,-,1,-,very small,Kgp,UKN,Yes
RF,Winter,2011,3,12,03:52,5,20,50,small,Ks/Pzme,"F/T, SM",Yes
RF,Winter,2011,3,12,19:27,0.5,2,5,very small,Khd,UNR,Yes
RS/ES,Spring,2011,3,21-25,,5,20,50,small,Kga,P,No
RS/ES,Spring,2011,3,21-25,,100,200,500,medium,Ka/Kga,P,No
SA,Spring,2011,3,21-25,,5,20,50,small,Khd,SA,No
RF,Spring,2011,3,25,08:00,-,4,-,very small,Kga,P,Yes
DS,Spring,2011,3,25,21:00,-,1200,-,large,Pzme,P,No
RF,Spring,2011,3,25,,0.5,2,5,very small,Krm,P,Yes
RF,Spring,2011,4,20,16:10,-,15,-,small,Kec,UNR,Yes
RF,Spring,2011,4,20,20:10,-,7,-,small,Ks/Kec,UNR,Yes
RF,Spring,2011,5,1,18:30,5,10,50,small,Kgp,SM,Yes
RF,Spring,2011,5,21,14:00,-,5,-,small,Kec,SM,Yes
RF,Spring,2011,5,27,16:41,5,20,50,small,Khd,P,Yes
RF,Spring,2011,6,15,17:10,5,20,50,small,Khd,UNR,Yes
RF,Summer,2011,6,21,09:30,2,3.5,5,small,Klt/Kbv,UNR,Yes
RF,Summer,2011,6,26,15:32,5,20,50,small,Ks,UNR,Yes
RF,Summer,2011,6,27,12:00,-,0.2,-,extremely small,Khd,UNR,Yes
RF,Summer,2011,6,29,09:30,5,10,50,small,Khd/Kgp ,P,Yes
RF,Summer,2011,7,1,02:41,-,25,-,small,Kgp,UNR,Yes
RF,Summer,2011,7,5,17:38,-,3,-,very small,Kbv,TS,Yes
RF,Summer,2011,7,05-Jun,late pm / early am,5,20,50,small,Kec/Kt,UNR,Yes
RF,Summer,2011,7,7,07:08,-,2,-,very small,Khd/Kgp ,UNR,Yes
RF,Summer,2011,7,12,14:47,30,45,60,small,Kbv,TS/CP,Yes
RF,Summer,2011,7,13,16:15,-,10,-,small,Kec,UNR,Yes
RF,Summer,2011,7,13,08:57,-,30,-,small,Ks,UNR,Yes
RF,Summer,2011,7,15,00:43,20,35,50,small,Khd,UKN,Yes
RF,Summer,2011,8,19,12:30,-,15,-,small,Kgp/Kec,UNR,Yes
RF,Summer,2011,9,1,06:15,150,200,250,small,Kbv,CP,Yes
RF,Summer,2011,9,10,11:40,-,4,-,small,Kec,UNR,Yes
RF,Summer,2011,9,11,14:20,-,1,-,very small,Kec/Kdg,P,Yes
RS,Summer,2011,9,11,14:35,-,2,-,very small,Ks,P,No
DS,Summer,2011,9,11-Dec,late pm / early am,-,3.5,-,very small,Qat,P,No
RF,Summer,2011,9,18,06:02,-,0.1,-,extremely small,Ks,UNR,Yes
RF,Summer,2011,9,19,15:20,-,2,-,very small,Kec,UNR,Yes
RF,Fall,2011,9,24,10:00,-,1,-,very small,Ks,UNR,Yes
RF,Fall,2011,9,24,21:45,5,20,50,small,Khd,P,Yes
RF,Fall,2011,9,26,19:46,0.5,2,5,very small,Khd,UKN,Yes
RF,Fall,2011,10,1,07:17,-,3,-,very small,Ks,UNR,Yes
RF,Fall,2011,10,1,08:30,0.5,2,5,very small,Khd,UNR,Yes
RF,Fall,2011,10,5,late pm,-,7,-,very small,Khd/Kgp ,UNR,Yes
RF,Fall,2011,10,9,11:00,-,4,-,very small,Kec,UNR,Yes
RF,Fall,2011,10,11,18:18,0.5,2,5,very small,Kec,UNR,Yes
RF,Fall,2011,10,28,12:49,-,20,-,small,Kec,UNR,Yes
DS,Fall,2011,11,5,13:40,-,5,-,very small,Kga,P,No
RF,Fall,2011,11,7,03:00,-,25,-,small,Ka,F/T,Yes
RF,Fall,2011,11,12,13:06,5,10,50,small,Khd,UNR,Yes
RF,Fall,2011,11,12,16:45,5,20,50,small,,UNR,Yes
RF,Fall,2011,11,20-24,,10,10,15,small,Kec,UNR,Yes
RF,Fall,2011,11,27,16:10,-,1,-,very small,Khd,UNR,Yes
RF,Fall,2011,12,,,-,10,-,small,Ktf,UNR,Yes
RF,Fall,2011,12,,,5,15,20,small,Kga,UKN,Yes
DS,Fall,2011,12,10,18:00,5,20,50,small,Qat,UNR,No
RF,Winter,2011,12,31,15:00,5,20,50,small,Khd,UNR,Yes
